"관광타입","음식점"
"음식점명","환영키친"
"개요","작은 마을 송당리에 제주 돌집의 고즈넉한 분위기의 음식점입니다. 맛있는 파스타, 다양한 칵테일과 맥주를 즐길 수 있습니다. 전 메뉴 포장가능합니다. 코로나 격상으로 인하여 12시에서 21시까지 영업합니다. 오전 라스트오더 15시 입니다. 브레이크타임 16시에서 17시 30분입니다. 방문예약, 전화예약 가능합니다. 매주 화요일 휴무입니다. 환영게스트하우스, 써니허니게스트하우스가 인접해 있습니다."
"주소","제주 제주시 구좌읍 송당2길 2 환영키친앤게스트하우스"
"주소(도로명)","제주특별자치도 제주시 구좌읍 송당2길 2"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 송당리 1358-1"
"대표번호","0507-1323-4631"
"영업시간","12:00~21:00"
"휴무일","매주 화요일"
"취급메뉴","해물짬뽕파스타, 감바스 알 아히요"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 매장이 청결해요"
