"관광타입","음식점"
"음식점명","더조은치킨"
"개요","치킨집 서자까입니다. 당분간 혼자서 운영하다 보니 배달은 안됩니다. 미리 예약해 주시면 시간에 맞춰 튀겨드립니다. 포장 또는 홀에서 드실 수 있습니다. 신선한 국내산 생닭을 그때그때 직접 손질 시즈닝 합니다. 튀김옷이 얇아 양은 적어 보일 수 있지만 기름지지 않고 아주 바삭하고 담백합니다. 아이들도 잘 먹습니다. 순살치킨도 그날 직접 손질한 닭 한 마리입니다. 정육이나 가슴살만 사용하지 않습니다. 신선한 생닭을 쓰려고 하다 보니 소량으로만 튀기기 때문에 일찍 재료가 소진될 수 있습니다. 직접 만든 매운 소스 추천합니다. 고산슈퍼, 고산유통이 인접해 있습니다."
"주소","제주 제주시 한경면 고산로 38-1"
"주소(도로명)","제주특별자치도 제주시 한경면 고산로 38-1"
"주소(지번주소)","제주특별자치도 제주시 한경면 고산리 2249-2"
"대표번호","064-772-3900"
"영업시간","18:00-23:00"
"휴무일","매주 토요일, 일요일"
"취급메뉴","치킨, 감자튀김"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요"
