"관광타입","음식점"
"음식점명","저스트브레드 justbread"
"개요","테이크어반에서 운영하는 빵 공장입니다. 빵과 샌드위치, 식사 빵에 어울리는 자연 숙성된 유럽 수입의 치즈와, 소금집의 샤퀴테리를 함께 판매합니다. 모든 제품 조기 품절의 가능성이 있으므로, 예약 주문하시면, 안정적으로 구매 가능합니다. 네이버 예약은 당일 예약이 아닌 다음날 픽업분 예약입니다. 주문하신 다음날 영업시간 내 픽업입니다. 예약 취소는 픽업 당일 매장 오픈 시간 전까지 가능합니다. 빵은 10시 30분, 11시 나누어 구워지며, 당일 빵으로 만들어지는 샌드위치는 11시 30분에 나옵니다. 빵 뷔페는 COVID19로 인해 중단 중입니다. 농부의 밥상, 대지농장이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 수시로10번길 17"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 수시로10번길 17"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 수산리 669-1"
"대표번호","064-782-1017"
"영업시간","10:30-14:30"
"휴무일","매주 화요일, 수요일"
"취급메뉴","고사리잠봉뵈르, 무화과크림치즈깜파뉴"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 주차하기 편해요, 매장이 청결해요"
