"관광타입","음식점"
"음식점명","보배쌤보리김치와게장 하귀점"
"개요","시의전서를 토대로 하여 수십 가지 한약재를 넣어 만든 간장게장, 새우장, 전복장부터 주문 즉시 부쳐지는 10가지의 다양한 전과 시원하고 담백한 소고기 뭇국과 돔베 고기입니다. 멋진 경치와 넓고 쾌적한 자리에서 편안하게 보배쌤의 음식을 즐겨보세요. 전 메뉴 포장 판매, 전국 택배가 가능하니 편하게 문의해 주세요. 단체 예약은 매장으로 문의주시면 상세하게 안내드리겠습니다. 철물세상, 수한의원이 인접해 있습니다."
"주소","제주 제주시 애월읍 하귀1리 530-9"
"주소(도로명)","제주특별자치도 제주시 애월읍 하귀12길 4"
"주소(지번주소)","제주특별자치도 제주시 애월읍 하귀1리 530-9"
"대표번호","064-784-7182"
"영업시간","08:00 - 21:00"
"휴무일","없음"
"취급메뉴","간장게장정식, 양념게장정식"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 친절해요, 매장이 청결해요"
