"관광타입","음식점"
"음식점명","금능스낵"
"개요","안녕하세요. 제주 금능해변에 자리 잡은 금능스낵은 인생 떡볶이로 유명한 분식 레스토랑입니다. 저희 금능스낵은 언제나 제주의 신선한 재료만을 선별하여 모든 음식에 정직하고 깨끗하게 정성을 다하고 있으며, 배우 류승범, 이정은, 홍종현 등 다수의 연예인이 방문한 맛집입니다. 또한 대한민국 떡지순례에 제주 5대 떡볶이로 선정되었습니다. 편안하고 쾌적한 분위기에서 식사를 즐기실 수 있도록 준비하고 있습니다. 주차는 매장 앞 바로 이용, 주차 쉬워요. 금능해변에서 도보 2분, 협재해변에서 차로 2분입니다. 우리집아점, 금능자갈이 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 238"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 238"
"주소(지번주소)","제주특별자치도 제주시 한림읍 금능리 2054-2"
"대표번호","070-4063-2002"
"영업시간","13:00 - 18:30"
"휴무일","없음"
"취급메뉴","딱새우로제떡볶이, 마라떡볶이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 매장이 청결해요, 혼밥하기 좋아요"
