"관광타입","음식점"
"음식점명","이금돈지"
"개요","안녕하세요. 제주의 깊은 정취와 함께 정갈하고 신선한 맛을 즐기실 수 있는 곳 이금돈지를 방문해 주셔서 감사합니다. 저희 식당은 다년간 많은 분이 방문하셔서 그 맛과 별미를 사랑해주신 제주의 향토 음식 전문점으로 전통적인 조리기법과 신선한 제주의 음식재료가 어우러져 그 맛이 특별합니다. 언제나 고객님 한 분 한 분을 가족처럼 여기며, 좋은 음식과 친절한 서비스로 정성을 다하겠습니다. 감사합니다. 연동빵집, 고향의맛이 인접해 있습니다."
"주소","제주 제주시 노연로 143"
"주소(도로명)","제주특별자치도 제주시 노연로 143"
"주소(지번주소)","제주특별자치도 제주시 연동 293-44"
"대표번호","0507-1481-8889"
"영업시간","10:00 - 22:00"
"휴무일","없음"
"취급메뉴","성게미역국, 갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 친절해요, 재료가 신선해요, 주차하기 편해요"
