"관광타입","음식점"
"음식점명","용두암바당회국수"
"개요","갈치조림을 1인분만 파는 곳입니다. 게다가 푸짐하고 맛도 좋은 생물갈치입니다. 용두암바당회국수에는 혼밥러를 위한 갈치조림, 게우밥 메뉴와자연산 활어를 넣어 만든 활어회국수, 게우밥, 싱싱한 전복과 활한치가 아낌없이 들어간 전복한치물괴 영양만점 맛도 좋은 전복버터구이 등 다양한 메뉴가 준비되어있어요. 용두암 근처 바다를 바라보며 멋진 식사를 즐겨보아요. 용두암해촌, 제주하이킹이 인접해 있습니다."
"주소","제주 제주시 서해안로 614"
"주소(도로명)","제주특별자치도 제주시 서해안로 614"
"주소(지번주소)","제주특별자치도 제주시 용담삼동 1026-3"
"대표번호","064-711-6754"
"영업시간","08:00~22:00"
"휴무일","전화문의"
"취급메뉴","한치물회, 활어회국수"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 뷰가 좋아요"
