"관광타입","음식점"
"음식점명","청춘당꽈배기 서귀점"
"개요","저희 청춘당꽈배기는 주문과 동시에 만들어드리는 오더메이드 시스템을 원칙으로 운영되고 있으니, 미리 전화로 주문해 주시면 더 빠르게 더 맛있는 꽈배기를 맛보실 수 있습니다. 햄, 치즈 핫도그, 치즈볼, 고기, 김치 고로케는 만드는데 5분 정도 소요되므로 전화로 미리 주문해 주시면 빠르게 가져가실 수 있습니다. 10만 원 이상 대량 주문 시 최소 1시간 전에는 미리 전화 주셔야 합니다. 반죽을 그때그때 바로 만들기 때문에, 반죽이 숙성되는 데 시간이 걸립니다. 배달은 퀵으로 합니다. 서귀포여자중학교, 애플컨벤션이 인접해 있습니다."
"주소","제주 서귀포시 일주동로 8800"
"주소(도로명)","제주특별자치도 서귀포시 일주동로 8800"
"주소(지번주소)","제주특별자치도 서귀포시 서홍동 1348-4"
"대표번호","064-763-0045"
"영업시간","09:00 - 19:00"
"휴무일","없음"
"취급메뉴","꽈배기, 고로케"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 친절해요, 주차하기 편해요, 가성비가 좋아요, 매장이 청결해요"
