"관광타입","음식점"
"음식점명","여기고씨네"
"개요","여기고씨네 딱새우는 최상급만을 사용합니다. 그 어느 곳이랑 비교하셔도 신선도는 최상입니다. 딱새우 전문점으로서 한 마리 한 마리 내 가족이 먹는다는 생각으로 손질, 세팅하고 있습니다. 매일 최상품을 경매 입찰하여 최고의 선도와 품질, 사이즈 대자만 취급하며, 딱새우 찜도 판매하고 있지만 찜용 딱새우를 사용하지 않으며 횟감용, 즉 최상의 선도만 취급하고 있음을 알려드립니다. 최상의 신선도를 위해 당일 손질 당일 판매를 원칙으로 하며 당일 한정수량 판매 완료 시 조기 재료 소진이 될 수 있습니다. 느영나영게스트하우스, 오선연공인중개사사무소가 인접해 있습니다."
"주소","제주 서귀포시 남원읍 신흥로13번길 23 여기고씨네"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 신흥로13번길 23"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 신흥리 168-8"
"대표번호","0507-1311-1339"
"영업시간","13:00-01:00"
"휴무일","없음"
"취급메뉴","제주 프리미엄 딱새우회, 딱새우 머리튀김"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 가성비가 좋아요"
