"관광타입","음식점"
"음식점명","청도"
"개요","제주도 제주시 용담동에 위치한 공항근처 제주도 맛집 청도 해물탕입니다. 해안도로 바로 앞이라 바다도 구경하고 얼큰하고 맛있는 해물탕도 먹고 속 시원한 식사 하실 수 있습니다. 커다란 문어가 통채로 들어간 문어해물탕과 해물 뚝배기, 갈치조림, 갈치구이, 해물 도새기 샤브샤브등 메뉴도 다양합니다. 가게 내부가 넓어 단체손님도 언제든지 환영입니다. 단체는 오시기 전 전화문의 부탁드립니다. 드롭탑, 사랑터울펜션이 인접해 있습니다."
"주소","제주 제주시 서해안로 546"
"주소(도로명)","제주특별자치도 제주시 서해안로 546"
"주소(지번주소)","제주특별자치도 제주시 용담삼동 1144"
"대표번호","064-713-8881"
"영업시간","09:00~22:00"
"휴무일","없음"
"취급메뉴","청도해물탕, 전복뚝배기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 주차하기 편해요, 친절해요, 매장이 넓어요"
