"관광타입","음식점"
"음식점명","맛디댜피자"
"개요","저희 도우는 흑미곡물도우라서 굉장히 쫄깃하고 자연산 100프로 치즈라서 치즈의 고소한 풍미가 더욱 깊답니다. 고객님들께 건강하고 안전한 먹거리를 제공하기 위해패스트푸드보다는 슬로우푸드를 지향하고 있습니다. 흑미곡물도우를 48시간이상 저온 숙성함으로 쫄깃하고 건강한 피자를 안심하고 드실 수 있게 만들고 있습니다. 앞으로도 찾아주시면 맛있는 음식으로 보답드리겠습니다. 신화월드피자, 제주신화월드피자, 제주대정맛집, 영어교육도시맛집입니다. 투썸플레이스, 국제영어교육도시가 인접해 있습니다."
"주소","제주 서귀포시 대정읍 글로벌에듀로 382 A104호"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 글로벌에듀로 382"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 보성리 2476-13"
"대표번호","064-792-6373"
"영업시간","10:20 - 01:20"
"휴무일","없음"
"취급메뉴","뉴욕스테이크피자, 킹타이거쉬림프피자"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요"
