"관광타입","음식점"
"음식점명","야미부대찌개 강정점"
"개요","기존의 부대찌개 집의 개념을 탈피하여, 제주도에 어울리는 까페 분위기에서 잔잔한 음악과 함께 깔끔하고 개운한 찌개 국물을 즐길 수 있는 곳입니다. 담백하고 깔끔한 국물을 위해 야채 육수를 사용했고 최고급 햄만을 고집하고 있습니다. 부대찌개뿐만 아니라 낙곱새 낙지, 소대창, 새우와 낙우새 낙지, 우삼겹, 새우를 직접 개발한 소스와 채수를 활용하여 제공하고 있습니다. 감사합니다. 농협, 강정교회, 솔대왓, 올레하르방순대가 인접해 있습니다."
"주소","제주 서귀포시 이어도로 573"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 573"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 4415"
"대표번호","064-900-8802"
"영업시간","11:00 - 14:30/21:00"
"휴무일","매주 일요일"
"취급메뉴","부대찌개, 낙삼새"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 매장이 청결해요, 인테리어가 멋져요"
