"관광타입","음식점"
"음식점명","구이사이"
"개요","애월읍 신엄리에 위치하고 있는 구이사이입니다. 아침 7시 30분부터 오픈해서 저녁 9시에 마감하는 현지인들이 많이 찾는 한식 전문 식당입니다. 10년 내공의 우거지 해장국 및 된장찌개, 김치찌개 등 저희 가게 시그니처 메뉴인 푸짐하고 다양하게 드실 수 있는 특정식 및 고등어 정식이 인기 메뉴입니다. 애월에서 아침 식사, 점식 식사, 저녁 식사 맛있게 할만한 곳 찾으신다면 들려보세요. 현지인이 추천하는 맛집, 착한 가격 업소로 지정된 곳입니다. 금천루, CU가 인접해 있습니다."
"주소","제주 제주시 애월읍 신엄9길 2"
"주소(도로명)","제주특별자치도 제주시 애월읍 신엄9길 2"
"주소(지번주소)","제주특별자치도 제주시 애월읍 신엄리 1252-4"
"대표번호","0507-1437-9242"
"영업시간","07:00 - 21:00"
"휴무일","둘째, 넷째 일요일"
"취급메뉴","양념갈비, 흑오겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 양이 많아요, 재료가 신선해요"
