"관광타입","음식점"
"음식점명","섬소나이"
"개요","섬소나이입니다. 저희 섬소나이는 언제나 신선한 재료만을 선별하여 모든 음식에 정성을 다하고 있으며, 편안하고 쾌적한 분위기에서 식사를 즐기실 수 있도록 준비하고 있습니다. 처음부터 끝까지 변함없는 친절한 서비스와 최상의 맛으로 정성껏 음식을 맛깔스럽게 요리해 푸짐한 양과 고급스러운 맛으로 고객님의 미각을 만족시켜 드립니다. 정직한 식재료와 바른 조리법, 신선하고 연구 개발된 식단으로 여러분을 찾아 뵙겠습니다. 언제나 내 가족이 먹는다는 생각으로 정직하고 깨끗하게 정성을 다하는 저희 업소를 찾아주시기 바랍니다. 자부심을 걸고 한결같은 맛과 친절한 서비스로 최선을 다해모시겠습니다. 서비스도 굿, 늘 기분이 좋아지게 하는 섬소나이로 놀러오시기 바랍니다. 하고수동포구, 오봉리사무소가 인접해 있습니다."
"주소","제주 제주시 우도면 우도해안길 814"
"주소(도로명)","제주특별자치도 제주시 우도면 우도해안길 814"
"주소(지번주소)","제주특별자치도 제주시 우도면 연평리 1290-6"
"대표번호","064-784-2918"
"영업시간","10:00-17:00"
"휴무일","전화문의"
"취급메뉴","우짬, 백짬"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 뷰가 좋아요, 재료가 신선해요, 친절해요"
