"관광타입","음식점"
"음식점명","뜰향기 교래리 에코랜드"
"개요","에코랜드 사려니숲길 근처 맛집입니다. 2021년 헬로 팔도 먹GO 제주도 편, sbs biz 채널 김대희의 히트맨 제주 맛집 편, 송영길 여행 생각 채널에 출연했습니다. 제주 뜰향기는 제주도 본연의 향토음식들을 즐기면서 맛볼 수 있는 제주 맛집입니다. 직접 기른 친환경 농수산물과 최고의 식재료 음식 맛을 맛볼 수 있는 뜰향기로 오시면 최고의 맛과 서비스를 보답해 드립니다. 뜰향기만의 가장 큰 장점은 가성비가 제주지역 음식점 중에서 가장 좋으며 차별화된 시래기밥을 맛볼 수 있기 때문에 특별한 한 끼 식사를 하실 수 있습니다. 시래기밥을 뜰향기에서만 맛볼 수 있는 간장소스와 비벼 먹는 별미를 느끼실 수 있습니다. 제주 한화리조트 근처에 위치해 있어서 많은 관광객들도 찾기 때문에 여행하시고 뜰향기 들리셔서 맛있는 식사하시고 가세요. 데일리스티치 패브릭앤기프트샵, 산내들맛집이 인접해 있습니다."
"주소","제주 제주시 조천읍 남조로 2326"
"주소(도로명)","제주특별자치도 제주시 조천읍 남조로 2326"
"주소(지번주소)","제주특별자치도 제주시 조천읍 와흘리 122-3"
"대표번호","0507-1370-9449"
"영업시간","09:30-20:00"
"휴무일","없음"
"취급메뉴","제주흑돼지 쌈채 제육볶음, 고등어구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 주차하기 편해요"
