"관광타입","음식점"
"음식점명","키친요디"
"개요","키친요디의 돼지고기는 청정 제주 흑돼지로 지방육이 단단하고 탄력이 있는 고기를 추구하며 고기의 품질을 그때 그때 확실하게 체크 할려고 노력하고 있어요. 모둠카츠와 특상로스카츠는 전통 돈가스로카츠의 중심이 미오글로빈 또는 열과산소에 의해핑크색 핑킹현상이 나타날 수 있어요. 키친요디 저온 교차 숙성방법과 직접만든 라드유와 대두유를 블랜딩하여청정제주 흑돼지돈가스를 정성과 사랑으로 요리합니다. 불닭공장, 푸르츠퀸이 인접해 있습니다."
"주소","제주 제주시 동화로1길 53-13"
"주소(도로명)","제주특별자치도 제주시 동화로1길 53-13"
"주소(지번주소)","제주특별자치도 제주시 화북일동 17-8"
"대표번호","0507-1469-0714"
"영업시간","11:30~17:00/21:00"
"휴무일","매주 일요일"
"취급메뉴","라클렛 치즈 흑돼지 돈가스, 모듬카츠"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요"
