"관광타입","음식점"
"음식점명","탭탭"
"개요","34가지 생맥주를 셀프로 즐길 수 있는 생맥주 전문점 탭탭입니다. 시그니처플래터, 스테이크, 파스타, 피자, 치킨 등등1차부터 마무리까지 다 할 수 있는 갬성 밥술집 입니다. 와인, 리큐르, 소주도 있습니다. 피로연 및 단체예약 전화문의 주세요. 예산 및 원하시는 컨셉회의 후 코스형식으로 진행됩니다. 1943, 용용선생이 인접해 있습니다. 다비다비, 투다리가 인접해 있습니다."
"주소","제주 제주시 연동7길 41 3층"
"주소(도로명)","제주특별자치도 제주시 연동7길 41"
"주소(지번주소)","제주특별자치도 제주시 연동 273-41"
"대표번호","0507-1476-4321"
"영업시간","18:00~03:00"
"휴무일","전화문의"
"취급메뉴","풀드포크 플래터, 바나나 브륄레"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 술이 다양해요, 친절해요, 특별한 메뉴가 있어요, 단체모임 하기 좋아요"
