"관광타입","음식점"
"음식점명","제주쉼팜"
"개요","저희 제주쉼팜은 1차 감귤 농사와 더불어 남원읍 위미3리에서 식당을 함께 운영하고 있습니다. 제주도 흑돼지 고기를 사용해서 만든 요리를 추천해 드리고 있습니다, 주 메인 요리는 흑돼지짜장, 짬뽕, 그리고 고기만두 김치만두를 드실 수 있으시며 제주도 영양 보양식 흑돼지 아강발 족탕, 족 조림 등도 있습니다. 콜라겐이 풍부하여 남녀노소 모두 다 좋아하리라 생각합니다. 제주도 여행 시 방문해 주세요. 참고로 모든 제품은 포장과 함께 전국택배도 가능합니다. 점포휴무일 2주 4주 화요일 입니다. 남원금호리조트, 남원코모몽이 인접해 있습니다."
"주소","제주 서귀포시 남원읍 태위로361번길 17"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 태위로361번길 17"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 위미리 204-2"
"대표번호","0507-1317-1792"
"영업시간","11:00 - 21:00"
"휴무일","매주 화요일"
"취급메뉴","흑돼지 짜장, 흑돼지 고기만두"
"주차시설 유무","있음"
"리뷰키워드","없음"
