"관광타입","음식점"
"음식점명","솔솥 서귀포점"
"개요","신선한 재료와 따뜻한 솥밥을 통해 특별한 기억을 전하는 솔솥입니다. 대한민국 대표 프리미엄 솥밥 솔솥입니다. 추천 메뉴 스테이크솥밥 고기와 노른자를 톡 터트려 비벼 먹는 고소 담백 스테이크 솥밥 도미관자솥밥 부드러운 도미살과 관자가 함께 어우러진 프리미엄 솥밥 이외에도 다양한 솥밥이 있으니, 방문하여 솥밥의 매력에 빠져보세요. 항상 고품질의 재료를 사용하여 깊은 맛을 내고 있는 저희 솔솥은, 늘 푸른 소나무처럼 한결같이 맛있는 한 끼를 대접하기 위해 노력하도록 하겠습니다. 목수건축이 인접해 있습니다. "
"주소","제주 서귀포시 신동로 119 솔솥 서귀포점"
"주소(도로명)","제주특별자치도 서귀포시 신동로 119"
"주소(지번주소)","제주특별자치도 서귀포시 서호동 1164-14"
"대표번호","0507-1364-1486"
"영업시간","11:30 - 21:00"
"휴무일","매주 일요일 "
"취급메뉴","스테이크솥밥, 도미관자솥밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 뷰가 좋아요, 재료가 신선해요, 특별한 메뉴가 있어요"
