"관광타입","음식점"
"음식점명","아임파인"
"개요","아임파인 입니다. 아임파인은 애프터 오더 쿠킹 시스템으로 주문 즉시 조리하여 신선도를 유지하여 맛의 퀄리티를 높였고, 톳으로 반죽한 당일 뽑아낸 생면을 사용하기 때문에 건강뿐 아니라 건조면에 비해 수분량이 많아 더 쫄깃한 식감을 느낄 수 있습니다. 또한, 이탈리안 감성과 제주 감성을 조합하여 담백하고 깔끔한 퓨전 피자를 맛 볼 수 있습니다. 올해는 아임파인에서 피맥이 좋을 것 같습니다. 질 좋은 식재료와 간단한 조리법으로 올바른 리얼 푸드를 대접하겠습니다. IM FINE, THANK YOU. 롯데시네마제주삼화지구, 오름중학교가 인접해 있습니다."
"주소","제주 제주시 지석8길 13-20"
"주소(도로명)","제주특별자치도 제주시 지석8길 13-20"
"주소(지번주소)","제주특별자치도 제주시 삼양이동 2176-11"
"대표번호","064-723-0959"
"영업시간","11:00-20:30"
"휴무일","매주 화요일"
"취급메뉴","우삼겹짬뽕, 크림짬뽕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 재료가 신선해요, 양이 많아요"
