"관광타입","음식점"
"음식점명","아망딘테이블"
"개요","제주 애월 한적한 마을에 있는, 따뜻한 정성을 들인 홈메이드 브런치를 준비해 드리는 프렌치 브런치 레스토랑 아망딘테이블입니다. 빵을 비롯하여 모든 재료를 많은 시간과 정성을 들여 직접 준비합니다. 예로, 바게트와 깜파뉴빵은 프랑스 밀가루를 사용하여 손 반죽과 긴 시간의 저온 발효를 거쳐 매일 아침 매장에서 직접 굽고 있어요. 여행지인 애월이지만 홈메이드 푸드이기에 집 밥을 먹은 듯 몸과 마음이 편안해지시길 바라며 정성껏 준비해 드립니다. 애월 백번가든, 금잔디생맥주하우스가 인접해 있습니다."
"주소","제주 제주시 애월읍 애월로 120"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월로 120"
"주소(지번주소)","제주특별자치도 제주시 애월읍 애월리 1584-4"
"대표번호","0507-1432-0244"
"영업시간","10:00 - 16:00/19:00"
"휴무일","매주 토요일"
"취급메뉴","잠봉뵈르샌드위치, 바질토마토샌드위치"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 인테리어가 멋져요, 재료가 신선해요, 매장이 청결해요"
