"관광타입","음식점"
"음식점명","제주광어천국 협재해수욕장 본점"
"개요","협재해수욕장과 금능해수욕장 도로변에 위치한 제주광어천국은 싱싱한 제주 광어회, 제주 참돔회, 제주 고등어회, 계절회, 바삭한 제주광어 튀김, 새우튀김, 굴튀김, 문어 튀김, 광어 튀김 패티 광어 버거 전문점입니다. 저희 제주 광어천국에 방문해 주신 고객분들이 제주 여행에서 최고의 맛집으로 추억할 수 있도록, 싱싱한 활어와 더 좋은 식재료로 매일매일 청결하게 준비하고 있습니다. 방문해 주셔서 감사합니다. 협재가게 협재해수욕장점, 버거307 협재점이 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 332-1"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 332-1"
"주소(지번주소)","제주특별자치도 제주시 한림읍 협재리 2514-1"
"대표번호","064-796-9969"
"영업시간","12:00 - 01:00"
"휴무일","없음"
"취급메뉴","광어, 방어"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 코스요리가 알차요"
