"관광타입","음식점"
"음식점명","통통참치"
"개요","통통참치는 세계에서 가장 맛있다는 지중해 참다랑어 혼마구로를 스페셜하게 먹을 수 있는 참치전문점입니다. 통통참치의 대표 메뉴는 참다랑어 모듬세트이고 2인 세트부터 4인 세트까지 준비가 되어 있어요. 신선한 최상급 참치를 맛있게 편안하게 드실 수가 있고 포장도 가능하답니다. 대정읍 모슬포에 있는 명품 참치전문점 통통참치 많이 찾아주세요. 감사합니다. 모슬포항, 모슬포호텔이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 최남단해안로30번길 11 1층"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 최남단해안로30번길 11"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 하모리 2129-1"
"대표번호","0507-1306-8847"
"영업시간","17:00 - 22:00"
"휴무일","매주 수요일"
"취급메뉴","참치회, 타코야끼"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 특별한 날 가기 좋아요"
