"관광타입","음식점"
"음식점명","만족한상회 중문점"
"개요","만족한상회 만의 특별 메뉴 제주산 은갈치의 가시를 제거 하고 통째로 끓여 낸 갈치조림 뚝배기 와 통우럭탕수 이 모든 게 2인상에 60000원부터 제공됩니다. 10년 이상 조리 경력으로 맛은 물론 가격까지 잡은 만족한상회 깔끔한 분위기 속에서 고객에게 만족한 한상을 제공하고자 다짐한 처음의 마음으로 최선을 다하겠습니다. 초록사과어린이집, 아름비미술학원이 인접해 있습니다."
"주소","제주 서귀포시 중문상로 58-5"
"주소(도로명)","제주특별자치도 서귀포시 중문상로 58-5"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 1665-5"
"대표번호","0507-1318-1388"
"영업시간","10:00 - 21:00"
"휴무일","없음"
"취급메뉴","왕갈치구이, 고등어구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 양이 많아요"
