"관광타입","음식점"
"음식점명","애월사이카레"
"개요","카레 짬뽕이 맛있는 애월 바다 위 카레를 더한 카레 전문점입니다. 로컬 식재료를 홈메이드 수제 카레로 카레 짬뽕부터 흑돼지 카레 스튜, 카레 파스타 등 저희만의 독자적인 특별한 카레맛을 내어드립니다. 다양한 토핑을 추가하여 카레에 곁들어 드시면 더욱 맛이 좋아요. 1층 공간은 공용주차장이니 주차에 불편 사항 있으시면 말씀 주세요. 랍스터빈, 파라펜션이 인접해 있습니다."
"주소","제주 제주시 애월읍 애월해안로 752"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월해안로 752"
"주소(지번주소)","제주특별자치도 제주시 애월읍 구엄리 509"
"대표번호","0507-1314-4279"
"영업시간","10:00 - 19:00"
"휴무일","매주 금요일"
"취급메뉴","흑돼지카레스튜, 카레짬뽕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 매장이 청결해요, 혼밥하기 좋아요"
