"관광타입","음식점"
"음식점명","멀티봉 제주"
"개요","구워먹는 마시멜로 아이스크림 바닐라, 초코, 딸기 판매하고 있습니다. 하지만, 수급 사정에 따라 재고가 달라질 수 있습니다. 우도 왕 땅콩빵안에 땅콩, 팥앙금이 들어가있습니다. 정말 맛있습니다. 맛 보장합니다. 오직 멀티봉에서만 맛보시기 바랍니다. 한라봉, 천혜향 착즙주스도 판매합니다. 여름 한정으로 전국 택배 가능합니다. 신선한 과일을 직접 믹서기로 갈아드리는 생과일 주스 전문점입니다. 제주 감귤주스, 제주산 애플망고주스 , 수박, 과일 믹스, 레몬, 인삼 등 다양한 주스를 건강하게 즐겨보시기 바랍니다. 올레시장 4번 출구, CU, 새우야, 비어수다가 인접해 있습니다."
"주소","제주 서귀포시 중정로61번길 20 7호"
"주소(도로명)","제주특별자치도 서귀포시 중정로61번길 20"
"주소(지번주소)","제주특별자치도 서귀포시 서귀동 276-19"
"대표번호","0507-1423-8987"
"영업시간","11:00 - 22:00"
"휴무일","없음"
"취급메뉴","구워먹는 마시멜로우 아이스크림,  우도 왕 땅콩빵"
"주차시설 유무","없음"
"리뷰키워드","음료가 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 디저트가 맛있어요"
