"관광타입","음식점"
"음식점명","제주정곱창 "
"개요","안녕하세요. 제주정곱창 입니다. 부부가 운영하는 한우곱창전문점 으로 서울 마장동 축산시장에서  도축된 소곱창을 제주까지 항공 운송받아 신선한 곱창으로 손님들께 내어드리고 있습니다. 저희 식당의 장점은 가족이 먹는다는 마음으로 허투루 하지않고 양심탑재, 개념탑재 했습니다. 믿고 오실만한 음식점 그리고 가게 상호처럼 사람사이 정이 오고가는 가게가 되도록 하겠습니다. 제주정곱창에 많은 관심 부탁드립니다. 감사합니다. 연포낙지, 올레반점이 인접해 있습니다."
"주소","제주 제주시 은남4길 31 제주정곱창"
"주소(도로명)","제주특별자치도 제주시 은남4길 31"
"주소(지번주소)","제주특별자치도 제주시 연동 283-53"
"대표번호","0507-1321-3293"
"영업시간","15:00~24:00"
"휴무일","매주 월요일"
"취급메뉴","돼지야채곱창, 소막창구이"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요"
