"관광타입","음식점"
"음식점명","우도아이스크림연구소 "
"개요","아이스크림연구소는 오직 제주도에만 있는 수제 젤라또 전문점입니다. 아이스크림 연구소의 건강한 재료, 당도가 낮게 설정 되어있으며, 첨가물이라고 할 수 있는 합성화합물이 들어가지 않습니다. 메인재료로 사용되는 우도땅콩은 산지에서 직접 수매하여 씻고 볶아서 핸들링하며, 철저한 품질관리를 통해 사용됩니다. 셰프의 정성, 저희 아이스크림 연구소는 손님의 입으로 들어가기 전까지 수많은 고민과 그에 따른 많은 과정을 거쳐 만들어 냅니다. 매일매일 아이스크림 상태를 체크하며 혹여 입맛에 맞지 않을까 긴장을 유지하며 판매하고 있습니다. 천진항, 하우목동항, 소머리오름, 우도봉, 섬머리, 검멀레해수욕장, 우도유채꽃 정보화마을이 인접해 있습니다."
"주소","제주 제주시 우도면 우도봉길 47 1층"
"주소(도로명)","제주특별자치도 제주시 우도면 우도봉길 47"
"주소(지번주소)","제주특별자치도 제주시 우도면 연평리 343-2"
"대표번호","0507-1314-7578"
"영업시간","09:00-18:00"
"휴무일","없음"
"취급메뉴","수제 우도 땅콩아이스크림, 아메리카노"
"주차시설 유무","있음"
"리뷰키워드","디저트가 맛있어요, 친절해요, 특별한 메뉴가 있어요, 주차하기 편해요, 매장이 청결해요"
