"관광타입","음식점"
"음식점명","불닭공장 서귀포신시가지점"
"개요","맛있게 매운 제주 대표 불닭 전문점. SINCE 2004 불닭공장 서귀포 신시가지점. 대표번호 064 739 9204　 TAKE OUT, 배달 전문점. 서귀포신시가지 전역 배달 가능. 자세한 배달 지역은 전화 문의 바랍니다. 모임석 예약 가능　한국인의 입맛을 사로잡은 매운맛의 진수. 화학조미료 MSG를 쓰지 않은 불닭공장만의 특제 양념소스를 이용, 직화로 구워내어 맛 뿐만아니라 건강까지 책임지는 맛있게 매운맛.　불닭공장은1차 100도 이상의 고온에서 삶고 2차 380도 고온에서 직화 조리되므로 건강과 맛을 보장합니다. AI 조류독감 및 외국 닭 파동과 무관함을 알립니다. 상호명 변경 안내 2021년 	 4월 부로 부가부가 부가네얼큰이 서귀포점이 불닭 공장 서귀포신시가지점으로 상호명을 변경하였습니다. 2011년부터 같은 자리에서 같은 주인이 운영해온 제주 대표 불닭 전문점입니다.늘 변함없는 고객 감동을 위하여 더 좋은 환경과 서비스로 보답하겠습니다. 많은 관심과 사랑 부탁드립니다. 감사합니다. 세상에서 제일 맛있는 불닭이 생각날 땐, 불닭공장 THE WORLDs GREATEST KOREAN BULDAK BULDAK FACTORY. 서귀포 월드컵 경기장, 대림상가가 인접해 있습니다."
"주소","제주 서귀포시 신서귀로97번길 87 102호"
"주소(도로명)","제주특별자치도 서귀포시 신서귀로97번길 87"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 177"
"대표번호","0507-1394-9204"
"영업시간","17:00 - 24:00"
"휴무일","매주 일요일"
"취급메뉴","소금닭날개, 불닭발"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 특별한 메뉴가 있어요"
