"관광타입","음식점"
"음식점명","한림그때그집 제주협재점"
"개요","안녕하세요. 한림 협재 그때그집입니다. 제주 그때그집은 애월 본점으로 시작하여 함덕, 월정세화, 한림 협재, 시청, 공항, 노형, 산방산, 중문, 판포, 서울제주흑돼지집 11곳에 지점이 있는 흑돼지 전문점입니다. 항상 고객님들의 만족스러운 식사를 제공할 수 있도록 노력하겠습니다. 감사합니다. 항아리게스트하우스, 한림항카페가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 591"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 591"
"주소(지번주소)","제주특별자치도 제주시 한림읍 한림리 1475-3"
"대표번호","064-796-9229"
"영업시간","11:30 - 22:00"
"휴무일","매주 일요일"
"취급메뉴","양푼이흑돼지김치찌개, 김치말이냉국수"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 인테리어가 멋져요, 양이 많아요, 재료가 신선해요"
