"관광타입","음식점"
"음식점명","놀멍놀멍"
"개요","1인이 운영하는 작은 매장입니다. 테이블은 1, 2층에 나뉘어 마련되어 있으며, 차 또는 식사와 함께 석양을 바라보며 멋진 풍경도 감상하실 수 있습니다. 작은 공간이지만 야외 테이블도 준비되어 있습니다 야외에서 반려견과 동반 식사도 가능합니다. 고객님 한 분 한 분께서 맛있게 드시고 가실 수 있도록 항상 정성과 최선을 다하는 매장이 되도록 노력하겠습니다. 차귀도잠수함승선장, 차귀도유람선이 인접해 있습니다. "
"주소","제주 제주시 한경면 노을해안로 1164-1 1층"
"주소(도로명)","제주특별자치도 제주시 한경면 노을해안로 1164-1"
"주소(지번주소)","제주특별자치도 제주시 한경면 고산리 3611-4"
"대표번호","0507-1496-0089"
"영업시간","10:00-18:00"
"휴무일","매주 목요일"
"취급메뉴","사골 떡만둣국, 해물칼국수"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 뷰가 좋아요, 매장이 청결해요"
