"관광타입","음식점"
"음식점명","타코밤 "
"개요","2002년 미국 L.A 현지 타코집 운영을 시작으로한국 이태원에서 2013년도에 또다시 시작된 타코 매장을 시작으로이태원세계음식 축제에서 당당히 1등을 차지하는 기쁨을 얻게 됩니다. 그후에 많은 VIP초청행사 아우디, 제일기획등등과 백화점 초정행사 현대 백화점, 신세계백화점, 롯데백화점 등을 통해 타코밤을 알리게되는 기회를 얻게 되면서 지금의 우도에 까지, 건강하고 맛있는 가족의 건강한 먹거리로 당당히 자리잡고 싶은 타코밤의 세계로 함께해 보시기 바랍니다. 하고수동해변, 오봉리사무소, 우도마을이 인접해 있습니다."
"주소","제주 제주시 우도면 우도해안길 780-2"
"주소(도로명)","제주특별자치도 제주시 우도면 우도해안길 780-2"
"주소(지번주소)","제주특별자치도 제주시 우도면 연평리 1190"
"대표번호","0507-1319-0500"
"영업시간","10:00-16:00"
"휴무일","매주 일요일"
"취급메뉴","한라산볶음밥, 한라산우도볶음밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 뷰가 좋아요, 양이 많아요, 특별한 메뉴가 있어요"
