"관광타입","음식점"
"음식점명","휴계농장 외도점"
"개요","제주 토종닭 샤브샤브 휴계농장 외도점입니다. 휴계농장 2호점으로 본점은 인계에 있고, 동일한 재료와 비법으로 닭샤브샤브를 만들고 있습니다. 육수는 매일 각종약재와 좋은 재료를 사용하여 육수를 우려낸 육수를 사용합니다. 야채는 배추, 콩나물, 숙주, 부추, 모기버섯 등 매일 신선한 야채 사용합니다. 손칼국는 보리새싹을 사용하여 직접 반죽한 칼국수 면을 사용합니다. 토종닭 백숙은 제주 토종닭을 사용하여 쫄깃한 식감의 육질을 느낄수 있습니다. 포장 가능합니다. 모든 메뉴 포장 가능합니다. 커피파니, CU가 인접해 있습니다."
"주소","제주 제주시 우정로5길 28"
"주소(도로명)","제주특별자치도 제주시 우정로5길 28"
"주소(지번주소)","제주특별자치도 제주시 외도일동 485-7"
"대표번호","0507-1328-7019"
"영업시간","14:00~21:30/22:00"
"휴무일","매주 화요일"
"취급메뉴","토종닭 샤브샤브, 토종닭 반도리탕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 주차하기 편해요"
