"관광타입","음식점"
"음식점명","패티스터"
"개요","버거 번 부터 매장에서 직접만드는 수제버거가게 패티스터입니다. 패티스터는 햄버거패티와 자매를 뜻하는 시스터를 합친 이름입니다. 빅시스터와 리틀시스터 두명의 자매가 아침부터 버터듬뿍 넣은 브리오슈번을 매장에서 직접 굽고 두툼한 패티와 신선한 재료들을 준비 하고 있습니다. 간단하게 준비되어있는 커피, 생맥주 등 음료만 드시고 가셔도 됩니다. GS25, 반올림피자샵이 인접해 있습니다."
"주소","제주 제주시 우령8길 8"
"주소(도로명)","제주특별자치도 제주시 우령8길 8"
"주소(지번주소)","제주특별자치도 제주시 외도일동 437-10"
"대표번호","010-5079-0719"
"영업시간","11:00~20:00"
"휴무일","매주 일요일, 월요일"
"취급메뉴","빅시버거, 패티스터버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 인테리어가 멋져요, 매장이 청결해요"
