"관광타입","음식점"
"음식점명","썬셋비치"
"개요","제주 협재 썬셋비치입니다. 저희 가게는 협재 해변 바로 앞에 위치한 오션 뷰 레스토랑 앤 펍입니다. 낮에는 바다를 보며 음식을 즐기실 수 있고, 저녁에는 노을을 바라보며 드실 수 있는 분위기 있는 레스토랑 앤 펍입니다. 파스타, 리조또, 샐러드, 피자, 감자튀김, 바베큐립 등 다양한 메뉴들이 준비되어 있습니다. 여러 가지 수입 병맥주와 생맥주, 와인, 위스키들이 준비되어 있습니다. 소중한 일상에 특별함을 더 해드릴 썬셋비치가 되겠습니다. 감사합니다. 바다아리펜션, 에니스케리가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 361"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 361"
"주소(지번주소)","제주특별자치도 제주시 한림읍 협재리 1731"
"대표번호","0507-1495-8917"
"영업시간","14:30 - 23:50"
"휴무일","매주 수요일"
"취급메뉴","매콤새우파스타, 해녀 먹물 리조또"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 음악이 좋아요, 술이 다양해요"
