"관광타입","음식점"
"음식점명","선하다선"
"개요","방짜 유기에 담아내는 정갈한 한정식 약식동원 약과 음식은 근원이 같습니다. 선하다선의 모토로 선하다선 시작과 함께 했던 말입니다. 늘 정성을 다하여 보약이 되는 음식을 만들겠습니다. 우리 농산물로 만드는 건강한 집 밥입니다. 늘 감사합니다. 착한 재료, 친절함, 주차장 완비, 전기차 충전 가능합니다. 선흘리락선동복지회관, 안뜨레집, 비안이 인접해 있습니다."
"주소","제주 제주시 조천읍 북선로 322-15 비동 1층 선하다선"
"주소(도로명)","제주특별자치도 제주시 조천읍 북선로 322-15"
"주소(지번주소)","제주특별자치도 제주시 조천읍 선흘리 2816-1"
"대표번호","064-782-4119"
"영업시간","11:00-16:00"
"휴무일","매주 일요일"
"취급메뉴","보쌈, 새우장"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 반찬이 잘 나와요"
