"관광타입","음식점"
"음식점명","리보스코화덕피자 연동점"
"개요","5인이상 예약시 네이버예약 완료 후매장으로 전화주세요. AI통화비서 연결시 직원연결 말씀하시면 직원이 전화를 받습니다. 전국최초 해녀톳피자, 해녀가 직접 딴 건강한 제주톳으로 피자를 만듭니다. 매일 신선한 재료를 공수하여고객님들께 건강하고 특별한 맛을선사하고자 합니다. 제주공항근처에 있어서 여행의 시작과 끝을 함께 하기에 딱좋은 제주도 핫플레이스 입니다. 몽돌보롬, 담아래본점이 인접해 있습니다."
"주소","제주 제주시 수목원길 27"
"주소(도로명)","제주특별자치도 제주시 수목원길 27"
"주소(지번주소)","제주특별자치도 제주시 연동 1315"
"대표번호","0507-1448-0906"
"영업시간","11:00~21:00"
"휴무일","매주 월요일"
"취급메뉴","해녀톳도우 한라산 용암 피자, 해녀톳도우 치즈몬지락피자 "
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 주차하기 편해요"
