"관광타입","음식점"
"음식점명","아강"
"개요","제주도산 돼지와 제철 식재료를 사용하여 다양한 코스요리를 제공하는 맡김차림 아강입니다. 100퍼센트 예약제입니다. 당일 예약은 오전 11시까지 받습니다. 코스중인 18시부터 20시는 통화 연결이 어렵습니다. 문의 사항이 있을 경우 그 외 시간에 통화 연결해주세요. 캐치테이블로 예약하시면 빠르고 정확하게 예약하실 수 있습니다.주차는 가게 맞은편 길가에 부탁드립니다. 제남도서관, 남원생활체육관이 인접해 있습니다."
"주소","제주 서귀포시 남원읍 남원체육관로 187 1층"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 남원체육관로 187"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 남원리 2336-7"
"대표번호","0507-1355-8497"
"영업시간","18:00 - 20:00"
"휴무일","매주 목요일"
"취급메뉴","아강 맡김차림, 한라산 21도"
"주차시설 유무","있음"
"리뷰키워드","없음"
