"관광타입","음식점"
"음식점명","까사데마마"
"개요","까사데마마는 엄마의 집이라는 뜻의 스페인어입니다. 사랑하는 딸이 지어 준 상호입니다. 엄마의 집에서 정성과 사랑으로 손님을 대접하라는 의미의 뜻을 지니고 있습니다. 엄마의 마음으로 밥을 짓고 맛있는 반찬을 만드는 곳, 친환경으로 지어진 하우스에서  친환경 식기에 화학 조미료를 쓰지 않고 손수 만든 음식을 제공합니다. 마이다스, 덕월여행사가 인접해 있습니다."
"주소","제주 제주시 애월읍 중용길 24"
"주소(도로명)","제주특별자치도 제주시 애월읍 중용길 24"
"주소(지번주소)","제주특별자치도 제주시 애월읍 신엄리 720-1"
"대표번호","064-901-8877"
"영업시간","11:30 - 21:00"
"휴무일","매주 수요일, 일요일"
"취급메뉴","딸기스무디, 코코넛쿠키"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 날 가기 좋아요, 매장이 청결해요"
