"관광타입","음식점"
"음식점명","애월당 제주공항점"
"개요","제주도 애월 프리미엄 베이커리 카페 애월당, 제주공항점 GRAND OPEN했습니다. 제주에서만 만나볼 수 있는, 애월당에서만 만나볼 수 있는 디저트를 위해 고민합니다. 제주 식재료를 사용하여 제주스러움이 듬뿍 담긴 디저트를 정성스럽게 만듭니다. 먹기에도 좋고 선물하기엔 더욱 좋은 제주 기념선물 세트를 애월당에서 만나보세요. 현무암을 마카롱으로 재해석하여 제주 필링을 듬뿍 담은 현무암하카롱, 다양한 라인업으로 골라 담는 재미가 있는 프리미엄 하카롱, 현무암소보로, 촉촉한 카스테라, 부드러운 커스터드 크림의 환상조화 애월돌크림빵이 있습니다. 세븐일레븐, 희야국수가 인접해 있습니다."
"주소","제주 제주시 다호5길 10"
"주소(도로명)","제주특별자치도 제주시 다호5길 10"
"주소(지번주소)","제주특별자치도 제주시 도두이동 87-6"
"대표번호","0507-1374-7093"
"영업시간","10:00 - 20:00"
"휴무일","없음"
"취급메뉴","애월돌크림빵, 땅콩돌크림빵"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요, 인테리어가 멋져요"
