"관광타입","음식점"
"음식점명","하르방밀면"
"개요","2005년에 하르방밀면본점 모슬포점을 오픈한 이래로 꾸준한 도민분들과 관광객분들의 성원에 힘입어 현재 하르방밀면제주점, 하르방밀면운동장점, 총 세 개의 식당을 운영하고 있습니다. 자가 제면에 특제 양념 다대기와 육수로 시원한 밀면의 맛을 즐길 수 있는 것이 저희 가게 자랑입니다. 또한 보말이라고 불리는 고동으로 만든 보말 칼국수와 수제 왕만두는 남녀노소 맛있게 즐길 수 있는 메뉴입니다. 제주공항 차로 8분 거리. 대정초등학교가 인접해 있습니다."
"주소","제주 서귀포시 대정읍 동일하모로 229 하르방밀면"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 동일하모로 229"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 상모리 3858-6"
"대표번호","064-794-5000"
"영업시간","11:00 - 19:30"
"휴무일","없음"
"취급메뉴","왕만두, 물밀면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 매장이 넓어요, 친절해요, 양이 많아요"
