"관광타입","음식점"
"음식점명","소소희"
"개요","소소희의 빵은 오랫동안 배양한 발효종을 사용하여 건강하고 소화 잘되는 빵을 만들고 있습니다. 소소희의 음료는 가공된 가루를 사용하지 않고 직접 만든 오미자청과 생강청을 사용합니다. 소소희의 모든 커피, 음료는 머신을 사용하지 않으며 신선한 원두로 직접 드립, 좋은 맛과 향을 추출하여 급냉하여  그날 그날 사용하고 있습니다. 쵸코사워도우, 시골빵, 사워도우, 에그타르트, 바게트, 치아바타, 브라우니쿠키, 마카다미아쿠키, 플레인스콘, 녹차스콘, 쵸코스콘, 무화과스콘, 치아씨드스콘 등이 있습니다. GS25, 구억마을옹기카페가 인접해 있습니다."
"주소","제주 서귀포시 대정읍 영어도시로 27-2"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 영어도시로 27-2"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 보성리 175-6"
"대표번호","0507-1409-1407"
"영업시간","11:00 - 18:00"
"휴무일","매주 월요일, 화요일, 수요일, 일요일"
"취급메뉴","초코사워도우, 브라우니쿠키"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 커피가 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요"
