"관광타입","음식점"
"음식점명","배고프면"
"개요","안녕하세요. 배고프면입니다. 에메랄드 빛으로 물든 월정리 바다가 펼쳐진 배고프면에서 해물라면을 드셔보세요. 배고프면은 라면 고유의 맛은 살리되 텁텁함을 잡기 위해 직접 육수를 끓이고,통문어, 통한치, 전복, 꽃게, 가리비등 싱싱한 해산물을 조합하여 한끼의 훌륭한 식사로 만들기 위해 요리 합니다. 랍스터와 전복, 새우 또 볼카츠등의 메뉴를 준비해 가족이나 연인, 아이들을 위해 메뉴 선택에 고민이 없게 준비 하였습니다. 월정리의 푸른 바다가 펼쳐진 야외 테이블도 준비되어 있으니 해물라면이 생각난다면 월정리의 배고프면에 들려주세요. 열심히 준비 하겠습니다. 월정리해변, 어부피자가 인접해 있습니다."
"주소","제주 제주시 구좌읍 해맞이해안로 518-38 1층"
"주소(도로명)","제주특별자치도 제주시 구좌읍 해맞이해안로 518-38"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 행원리 1511-3"
"대표번호","0507-1402-8028"
"영업시간","10:00-16:00"
"휴무일","매주 수요일"
"취급메뉴","통문어해물라면, 통한치 해물라면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 뷰가 좋아요, 친절해요, 특별한 메뉴가 있어요"
