"관광타입","음식점"
"음식점명","제주등대아구찜"
"개요","제주도 한림에 위치한 제주 한림 맛집 등대 아구찜입니다. 인건비 상승과 물가 상승으로 인하여 5년 만에 2020년 9월 1일부로 가격이 인상되었습니다. 연초부터 인상하려 하였지만 코로나로 인해 힘든 시기여서 인상하지 않고 장사를 하다 가게 운영에 어려움을 느껴 가격이 인상되었습니다. 찾아주시는 많은 분들께 감사드리며 죄송합니다. 감사합니다. 석촌선구철물, 나들가게부두수퍼가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림해안로 145-2"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림해안로 145-2"
"주소(지번주소)","제주특별자치도 제주시 한림읍 한림리 1328-27"
"대표번호","0507-1434-0710"
"영업시간","10:00 - 22:00"
"휴무일","매주 화요일"
"취급메뉴","아구찜, 해물찜"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 양이 많아요, 재료가 신선해요, 친절해요, 가성비가 좋아요"
