"관광타입","음식점"
"음식점명","아끈식당"
"개요","제주도 조용한 바다마을 신촌리에서 부부가 둘이 운영하고 있는 테이블 3개의 작은 파스타 가게입니다. 둘이 운영하고 있다 보니 손님이 몰리는 시간대는 다소 대기가 있을 수 있습니다. 천천히 기다려 주시면 더 맛있게 준비해 드리겠습니다. 아이를 포함한 최대 4인까지 이용 가능하며 아기 의자와 리소토 피자 메뉴는 없습니다. 아이와 함께 오시는 경우 미리 확인 후 방문 부탁드립니다. 주차는 가게 앞 또는 근처 공터 이용 부탁드리며, 점심시간대는 예약을 받지 않고 오시는 순서대로 준비해 드립니다. 정기 휴무는 없고 임시 휴무는 인스타 프로필이나 네이버 휴무 정보에 등록하고 있습니다. 참고해 주세요. 안내견 제외 반려동물 동반은 어렵습니다. 신촌초등학교, 하니하우스, 신촌선창식당이 인접해 있습니다."
"주소","제주 제주시 조천읍 신촌북2길 31-3"
"주소(도로명)","제주특별자치도 제주시 조천읍 신촌북2길 31-3"
"주소(지번주소)","제주특별자치도 제주시 조천읍 신촌리 2204"
"대표번호","0507-1308-0625"
"영업시간","11:00-15:00"
"휴무일","매주 화요일"
"취급메뉴","아보카도와 훈제 연어를 곁들인 치즈 크레이프, 한치명란오일파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요"
