"관광타입","음식점"
"음식점명","쿠이"
"개요","Aussie Vibe Cafe 앤 PubCooee입니다. 쿠이는 Hey, Come Here 호주 원주민 용어로 멀리 있는 친구를 부를 때 사용합니다. Coffee는 시드니 Campos 스타일의 커피를 제공합니다. 원두의 특성에 맞춰 준비한 제주 우유, 덴마크 우유 외에 락토프리 밀크, 오트 밀크, 소이 밀크, 아몬드 밀크, 그리고 다양한 시럽 등으로 커스터마이징해서 커피를 드실 수 있어요. 포시즌빌리지, 곽지길가온펜션입구가 인접해 있습니다."
"주소","제주 제주시 애월읍 곽지3길 21"
"주소(도로명)","제주특별자치도 제주시 애월읍 곽지3길 21"
"주소(지번주소)","제주특별자치도 제주시 애월읍 곽지리 1575-10"
"대표번호","0507-1344-9728"
"영업시간","10:00 - 24:00"
"휴무일","없음"
"취급메뉴","카푸치노, 아포가토"
"주차시설 유무","있음"
"리뷰키워드","인테리어가 멋져요, 커피가 맛있어요, 뷰가 좋아요, 친절해요, 음료가 맛있어요"
